,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
919554,A-919563,3,2019-05-06 12:31:50,2019-05-06 13:01:14,43.913002,-100.313156,Vivian,SD,39.0,89.0,8.0,Light Rain
1208194,A-1208208,2,2018-12-02 12:30:11,2018-12-02 13:14:25,44.875721,-98.503128,Redfield,SD,23.0,85.0,10.0,Overcast
1264977,A-1264992,2,2018-11-04 15:54:53,2018-11-04 16:24:39,43.240898,-97.578438,Menno,SD,41.0,89.0,10.0,Overcast
1901124,A-1901147,2,2018-01-15 09:29:43,2018-01-15 10:29:33,43.711449,-98.48822,Plankinton,SD,-2.9,72.0,2.0,Haze
1912315,A-1912338,2,2018-01-22 06:47:36,2018-01-22 07:17:07,44.518162,-98.97228199999999,Miller,SD,21.9,96.0,6.0,Overcast
2242332,A-2242356,2,2017-08-29 10:29:24,2017-08-29 11:13:55,44.378052000000004,-100.31591,Pierre,SD,77.0,50.0,10.0,Clear
2260477,A-2260501,3,2016-12-19 08:22:41,2016-12-19 14:22:41,43.5489,-96.7807,Sioux Falls,SD,9.0,70.0,10.0,Mostly Cloudy
2260478,A-2260502,3,2016-12-19 08:22:41,2016-12-19 14:22:41,43.53808,-96.78022,Sioux Falls,SD,9.0,70.0,10.0,Mostly Cloudy
2262464,A-2262488,2,2017-01-10 12:13:33,2017-01-10 18:13:33,44.099709999999995,-103.17227,Rapid City,SD,17.0,79.0,10.0,Cloudy
2262661,A-2262685,4,2017-01-11 23:58:35,2017-01-12 05:58:35,43.61673,-96.77063000000001,Sioux Falls,SD,6.1,67.0,10.0,Overcast
2271500,A-2271524,4,2016-08-03 08:23:24,2016-08-03 14:23:24,43.609120000000004,-96.94414,Hartford,SD,73.9,91.0,9.0,Partly Cloudy
2271502,A-2271526,4,2016-08-03 08:23:24,2016-08-03 14:23:24,43.60884,-96.95032900000001,Hartford,SD,73.9,91.0,9.0,Partly Cloudy
2274231,A-2274255,2,2016-08-31 18:05:50,2016-09-01 00:05:50,44.103429999999996,-102.71236999999999,New Underwood,SD,79.0,44.0,10.0,Clear
2277358,A-2277382,4,2016-07-15 10:33:11,2016-07-15 16:33:11,43.83625,-101.65565,Kadoka,SD,71.1,59.0,10.0,Clear
2344114,A-2344138,3,2016-04-13 15:39:14,2016-04-13 21:39:14,43.5278,-96.70200000000001,Sioux Falls,SD,73.9,27.0,10.0,Scattered Clouds
2390932,A-2390956,2,2017-02-08 05:19:43,2017-02-08 11:19:43,43.857890000000005,-101.934849,Kadoka,SD,5.0,84.0,9.0,Light Snow
2400669,A-2400693,2,2017-02-20 11:43:02,2017-02-20 17:43:02,43.71778,-98.7192,White Lake,SD,47.7,86.0,10.0,Light Rain
2586557,A-2586581,4,2019-09-17 23:35:40,2019-09-18 00:04:24,43.38443,-97.99351,Parkston,SD,78.0,66.0,10.0,Fair
2586558,A-2586582,4,2019-09-17 23:35:40,2019-09-18 00:04:24,43.40087,-97.42081999999999,Freeman,SD,78.0,68.0,10.0,Fair
2586560,A-2586584,4,2019-09-17 19:47:41,2019-09-17 20:16:07,43.03155,-98.90304,Fairfax,SD,82.0,52.0,10.0,Fair
2618802,A-2618826,4,2019-09-16 17:38:44,2019-09-16 18:07:38,43.38443,-97.99351,Parkston,SD,83.0,58.0,10.0,Fair
2625195,A-2625219,4,2019-03-13 10:30:53,2019-03-13 10:59:41,42.60318,-96.57408000000001,Jefferson,SD,41.0,100.0,0.2,Fog
2625286,A-2625310,4,2019-03-13 22:36:54,2019-03-13 23:05:57,44.084078000000005,-103.23046,Rapid City,SD,28.0,100.0,0.5,Snow / Windy
2625732,A-2625756,4,2019-03-14 23:51:10,2019-03-15 00:20:44,43.543240000000004,-97.38843,Bridgewater,SD,30.0,69.0,10.0,Clear
2625747,A-2625771,4,2019-03-14 23:42:54,2019-03-15 00:11:31,44.42715,-96.7547,Brookings,SD,26.1,84.0,10.0,Overcast
2631222,A-2631246,4,2019-03-26 14:29:45,2019-03-26 14:58:25,43.04657,-102.21911,Batesland,SD,66.9,30.0,10.0,Clear
2632946,A-2632970,4,2019-03-29 22:47:16,2019-03-30 01:30:32,43.89362,-103.42532,Keystone,SD,27.0,75.0,10.0,Clear
2633560,A-2633584,4,2019-03-31 22:26:29,2019-04-01 01:10:16,43.89362,-103.42532,Keystone,SD,30.0,61.0,10.0,Clear
2642703,A-2642727,4,2019-02-11 06:22:46,2019-02-11 06:52:40,44.81155,-104.05585,Belle Fourche,SD,12.0,98.0,10.0,Cloudy
2648456,A-2648480,2,2019-02-20 09:48:31,2019-02-20 10:18:03,43.98685,-102.23442,Wall,SD,12.9,88.0,3.0,Light Snow
2653665,A-2653689,4,2018-12-31 19:24:52,2019-01-04 19:24:22,43.25717,-97.08218000000001,Hurley,SD,5.0,73.0,1.8,Light Snow
2663472,A-2663496,4,2019-01-18 06:39:52,2019-01-18 07:07:13,43.857101,-103.437123,Keystone,SD,27.0,92.0,2.0,Overcast
2667432,A-2667456,3,2019-01-25 12:21:26,2019-01-25 12:51:15,43.665209999999995,-97.59392,Spencer,SD,12.0,67.0,10.0,Clear
2688966,A-2688990,4,2018-12-27 08:08:19,2018-12-31 08:08:02,43.241659999999996,-97.4192,Freeman,SD,24.8,86.0,0.8,Light Snow
2701849,A-2701873,2,2018-11-17 11:53:23,2018-11-17 12:22:49,43.60861,-96.57600000000001,Brandon,SD,18.0,74.0,10.0,Mostly Cloudy
2713577,A-2713601,4,2018-10-07 06:27:42,2018-10-07 06:57:21,43.93463,-103.57155,Hill City,SD,33.8,93.0,10.0,Overcast
2727397,A-2727421,2,2018-09-04 18:21:37,2018-09-04 18:50:55,43.924451,-100.3193,Vivian,SD,72.0,53.0,10.0,Overcast
2745107,A-2745131,4,2018-08-13 13:01:04,2018-08-13 19:01:04,43.694829999999996,-97.95223,Mitchell,SD,91.0,44.0,10.0,Clear
2823807,A-2823831,3,2018-01-02 00:49:45,2018-01-02 06:49:45,44.295840000000005,-103.43204,Piedmont,SD,-5.0,83.0,10.0,Cloudy
2828066,A-2828090,2,2018-01-10 13:32:55,2018-01-10 19:32:55,43.608725,-96.737364,Sioux Falls,SD,37.0,96.0,2.5,Overcast
2836103,A-2836127,2,2018-01-27 20:20:26,2018-01-27 20:50:26,43.56666,-96.77814000000001,Sioux Falls,SD,30.0,96.0,0.5,Snow
2840147,A-2840171,4,2017-12-04 14:16:08,2017-12-04 20:16:08,44.103629999999995,-102.70453,New Underwood,SD,24.1,44.0,10.0,Clear
2843860,A-2843884,4,2017-12-12 10:47:32,2017-12-12 16:47:32,43.98662,-102.24334,Wall,SD,45.0,42.0,10.0,Clear
2843861,A-2843885,4,2017-12-12 10:47:32,2017-12-12 16:47:32,44.06747,-102.38946999999999,Wasta,SD,48.9,28.0,6.0,Smoke
2851973,A-2851997,3,2017-11-02 06:44:43,2017-11-02 12:44:43,43.66644,-97.31328,Salem,SD,32.0,100.0,10.0,Mostly Cloudy
2851980,A-2852004,3,2017-11-02 09:45:27,2017-11-02 15:45:27,43.609041999999995,-96.737779,Sioux Falls,SD,37.0,89.0,10.0,Overcast
2882298,A-2882322,2,2017-09-21 06:33:56,2017-09-21 12:33:56,43.6057,-96.71619,Sioux Falls,SD,54.0,86.0,10.0,Clear
2888818,A-2888842,2,2017-08-06 15:45:34,2017-08-06 21:45:34,43.88756,-100.88398000000001,Okaton,SD,75.9,50.0,10.0,Scattered Clouds
2899631,A-2899655,4,2019-04-03 23:44:07,2019-04-04 00:12:25,43.580487,-96.728649,Sioux Falls,SD,40.0,89.0,10.0,Light Rain
2900242,A-2900266,4,2019-04-04 22:40:51,2019-04-05 01:25:24,43.89362,-103.42532,Keystone,SD,41.0,70.0,10.0,Cloudy
2903530,A-2903554,4,2019-04-10 22:37:09,2019-04-10 23:05:50,44.71952,-103.42558000000001,Newell,SD,23.0,100.0,1.0,Light Snow
2917081,A-2917105,4,2019-05-09 06:00:42,2019-05-09 06:30:00,43.89362,-103.42532,Keystone,SD,31.0,89.0,4.0,Light Snow
2917082,A-2917106,4,2019-05-09 22:24:42,2019-05-10 01:07:30,43.89362,-103.42532,Keystone,SD,29.0,85.0,10.0,Partly Cloudy
2920509,A-2920533,4,2019-05-16 23:42:42,2019-05-17 00:10:33,43.15498,-98.54606,Lake Andes,SD,62.0,72.0,10.0,Partly Cloudy
2928113,A-2928137,4,2019-05-01 14:36:59,2019-05-01 15:05:59,45.52173,-100.04134,Selby,SD,45.0,76.0,10.0,Cloudy
2937115,A-2937139,2,2019-06-19 13:54:55,2019-06-19 14:24:31,44.10617,-102.6334,New Underwood,SD,75.0,55.0,10.0,Partly Cloudy
2938197,A-2938221,4,2019-06-21 16:05:13,2019-06-21 16:34:41,45.93493,-102.15942,Lemmon,SD,63.0,52.0,10.0,Cloudy
2956610,A-2956634,4,2019-07-17 23:37:28,2019-07-18 00:06:57,43.532403,-100.733609,White River,SD,76.0,79.0,10.0,Fair
2956616,A-2956640,4,2019-07-17 23:35:12,2019-07-18 00:03:45,44.32723,-97.12735,Arlington,SD,73.0,100.0,10.0,Fair
